1800 step,  mlm : 0.00, nsp : 0.14 nsp_acc : 0.96875
1820 step,  mlm : 0.00, nsp : 0.19 nsp_acc : 0.96875
1840 step,  mlm : 0.00, nsp : 0.15 nsp_acc : 0.96875
1860 step,  mlm : 0.00, nsp : 0.10 nsp_acc : 0.96875
1880 step,  mlm : 0.00, nsp : 0.15 nsp_acc : 0.96875
1900 step,  mlm : 0.00, nsp : 0.21 nsp_acc : 0.9375
1920 step,  mlm : 0.00, nsp : 0.09 nsp_acc : 0.96875
1940 step,  mlm : 0.00, nsp : 0.20 nsp_acc : 0.90625
1960 step,  mlm : 0.00, nsp : 0.04 nsp_acc : 0.96875
1980 step,  mlm : 0.00, nsp : 0.10 nsp_acc : 0.96875
2000 step,  mlm : 0.00, nsp : 0.18 nsp_acc : 0.96875
2020 step,  mlm : 0.00, nsp : 0.20 nsp_acc : 0.9375
2040 step,  mlm : 0.00, nsp : 0.12 nsp_acc : 0.9375
2060 step,  mlm : 0.00, nsp : 0.11 nsp_acc : 0.9375
2080 step,  mlm : 0.00, nsp : 0.05 nsp_acc : 1.0
2100 step,  mlm : 0.00, nsp : 0.06 nsp_acc : 0.96875
2120 step,  mlm : 0.00, nsp : 0.04 nsp_acc : 1.0
2140 step,  mlm : 0.00, nsp : 0.26 nsp_acc : 0.875
2160 step,  mlm : 0.00, nsp : 0.05 nsp_acc : 0.96875
2180 step,  mlm : 0.00, nsp : 0.13 nsp_acc : 0.90625
2200 step,  mlm : 0.00, nsp : 0.32 nsp_acc : 0.875
2220 step,  mlm : 0.00, nsp : 0.03 nsp_acc : 1.0
2240 step,  mlm : 0.00, nsp : 0.22 nsp_acc : 0.90625
2260 step,  mlm : 0.00, nsp : 0.10 nsp_acc : 0.96875
2280 step,  mlm : 0.00, nsp : 0.12 nsp_acc : 0.9375
2300 step,  mlm : 0.00, nsp : 0.17 nsp_acc : 0.90625
2320 step,  mlm : 0.00, nsp : 0.05 nsp_acc : 0.96875
2340 step,  mlm : 0.00, nsp : 0.34 nsp_acc : 0.90625
2360 step,  mlm : 0.00, nsp : 0.22 nsp_acc : 0.9375
2380 step,  mlm : 0.00, nsp : 0.12 nsp_acc : 0.90625
2400 step,  mlm : 0.00, nsp : 0.12 nsp_acc : 0.96875
2420 step,  mlm : 0.00, nsp : 0.11 nsp_acc : 0.96875
2440 step,  mlm : 0.00, nsp : 0.03 nsp_acc : 1.0
2460 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.9375
2480 step,  mlm : 0.00, nsp : 0.14 nsp_acc : 0.96875
2500 step,  mlm : 0.00, nsp : 0.16 nsp_acc : 0.90625
2520 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
2540 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.9375
2560 step,  mlm : 0.00, nsp : 0.07 nsp_acc : 1.0
2580 step,  mlm : 0.00, nsp : 0.01 nsp_acc : 1.0
2600 step,  mlm : 0.00, nsp : 0.12 nsp_acc : 0.96875
2620 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
2640 step,  mlm : 0.00, nsp : 0.05 nsp_acc : 0.96875
2660 step,  mlm : 0.00, nsp : 0.25 nsp_acc : 0.90625
2680 step,  mlm : 0.00, nsp : 0.33 nsp_acc : 0.90625
2700 step,  mlm : 0.00, nsp : 0.06 nsp_acc : 0.96875
2720 step,  mlm : 0.00, nsp : 0.07 nsp_acc : 0.96875
2740 step,  mlm : 0.00, nsp : 0.04 nsp_acc : 1.0
2760 step,  mlm : 0.00, nsp : 0.12 nsp_acc : 0.9375
2780 step,  mlm : 0.00, nsp : 0.04 nsp_acc : 1.0
2800 step,  mlm : 0.00, nsp : 0.25 nsp_acc : 0.84375
2820 step,  mlm : 0.00, nsp : 0.11 nsp_acc : 0.96875
2840 step,  mlm : 0.00, nsp : 0.12 nsp_acc : 0.9375
2860 step,  mlm : 0.00, nsp : 0.18 nsp_acc : 0.90625
2880 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
2900 step,  mlm : 0.00, nsp : 0.16 nsp_acc : 0.90625
2920 step,  mlm : 0.00, nsp : 0.11 nsp_acc : 0.9375
2940 step,  mlm : 0.00, nsp : 0.13 nsp_acc : 0.96875
2960 step,  mlm : 0.00, nsp : 0.05 nsp_acc : 1.0
2980 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
3000 step,  mlm : 0.00, nsp : 0.10 nsp_acc : 0.9375
3020 step,  mlm : 0.00, nsp : 0.12 nsp_acc : 0.96875
3040 step,  mlm : 0.00, nsp : 0.21 nsp_acc : 0.9375
3060 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
3080 step,  mlm : 0.00, nsp : 0.04 nsp_acc : 1.0
3100 step,  mlm : 0.00, nsp : 0.04 nsp_acc : 1.0
3120 step,  mlm : 0.00, nsp : 0.06 nsp_acc : 0.96875
3140 step,  mlm : 0.00, nsp : 0.04 nsp_acc : 1.0
